ツインシティ―はどう？,how
あなたはどうなの、ヒロ先輩？,how
そこまでどうやって行ったらいいですか？,how
ふだん、週末はどのように過ごしますか？,how
初めての海外出張はどうでしたか。,how
夏の調子はどう？,how
私、どうです？,how
科学の課題はうまくいっている？,how
初めまして、ビル。,how
それについてどう思いますか？,how
わたし、どう言ったらいいんでしょう？,how
写真は何枚あるの？,how
どうしてわかるの？,how
この写真はどうかな？,how
どうでしたか？,how
「自尊心を持つことは重要です。自分で自分を尊敬しなくて、どうやって人に尊敬してもらおうと期待できるでしょうか？」,how
それは選考の過程でどの程度重要なのですか。,how
ぼくは何をすればいい？,how
イギリス旅行はどうだった？,how
自分がどうやって和太鼓が上達したと思う？,how
きょうのマニラの天気はどうだい？,how
どうしてわかるの？,how
慣れてきた？,how
どうやって行けばいいんですか？,how
どうしてわかるの？,how
具合はどうだい、ロボコーパス？,how
おいごさんは何歳ですか？,how
これを日本に送るといくらかかりますか？,how
ツインシティーでの初めての夏を楽しんでいる？,how
今日の日本語の授業はどうだった？,how
顧客データベースの進み具合はどうかな、ケイト？,how
ご両親を公園に連れてきたらどうじゃ？,how
きょうのロシアの対戦相手はどうでしたか？,how
衣服などは、この流れにどう適合していますか。,how
次の土曜日はどう？,how
そこまでどのくらい時間がかかりますか？,how
メールの処理のしかたをじっくり考えてみてはどうでしょうか。,how
どうやって救い出せる？,how
どうして分かったの？,how
どうやって駆除すればいい？,how
盆が過ぎたころ・・・お力と源七、二人が共に死んでいるのが見つかった。二人の死の真相は、謎のままだった。,how
2000年世代の人たちと仕事をしていて、どんなふうに感じますか。,how
調子はどう？,how
どうかな？,how
気分はどうだい、ロボ？,how
どうやってここに来たんですか？,how
仕立屋さんの娘はどう？,how
体調はどうですか？,how
どのようにご両親を説得して、そこから引っ越してもらえたのですか。,how
どうしてわかるの？,how
どうやったらコウゾウの落語をご両親に見せられるでしょうか？,how
木曜日の3時はいかがですか。,how
どうやったら検査できるの？,how
日本人は、このような状況にどう対処しているのですか。,how
（携帯）電話を使うのはどうですか？,how
フルトン通りで右折するのはどうですか？,how
「大統領の演説はどうだった？」 「大したことは言ってなかった」,how
彼の反応は？,how
そのパーティーのことをどうやって知ったのですか。,how
気に入った？,how
1日何回のめばいいんですか？,how
今まで何回それを言ったの？,how
元気？,how
このウサギちゃんはどう？,how
君はどうやってこんなに早くここに来られたの？,how
エジプトへの旅はいかがでしたか？,how
あなたの名字はどう発音するのですか？,how
毎日、どうやって通学しているの？,how
マイアミへのフライトはどのくらい？,how
どうだった？,how
どうして知っているんですか？,how
感謝祭はどうだった？,how
どうやったらインターネットに接続できますか？,how
毎月の家賃はいくらですか？,how
コーヒーを飲みながら、映画の話をしない？,how
なぜあなたたちは、そのような大きな変更をしようとしているのかね。,how
どうすればこれ（このチャンス）をものにできるでしょうか。,how
これはあとどのくらい続きますか？,how
仕事はどう？,how
そのネコはどうやって魚をぬすむんですか？,how
次のプレゼンテーションのための情報を調べるつもりで、コンピュータの前に座ったはいいけれど、気がつくと最新の相撲の取り組みの動画や、大好きな日本のお笑い芸人の動画を見ているだけだった、ということが何度あったかわかりません。,how
いくらですか？,how
ツインシティーに来てどれくらいなの？,how
暇なとき何をやっていらっしゃるのですか？,how
お姉ちゃん、空手部はどう？,how
スタジアムまでどうやって行くつもり？,how
どうすれば人間になれますか？,how
あなたはどうでしたか、スティーブ。,how
どうしてわかりますか？,how
男が死体で発見された時、部屋は密室状態。明智小五郎は密室殺人のトリックに挑む。,how
どうしてこの診療所を知っているの、匠？,how
新田先生、新しいALTの先生はどうですか？,how
いくつバス停がありますか？,how
アメリカの「オフィス用語」についてはどうでしょう。,how
どうしてわかったの？,how
どうすれば見せられる？,how
ハワードさん、タクシー呼びましょうか？,how
君は彼をどう思っているの？,how
どうやって破損したハード・ドライブからデータを回復できるの？,how
一体どうやって？,how
体調がよくない時には、自分の体調についてどれぐらいの情報を雇用主に伝える必要があるのですか。,how
お姉さんはお元気ですか、スティーブ。,how
ランチに出かけないかい？,how
彼とはどのくらい長く知り合いですか？,how
ジュリアズグリル、2時では？,how
浅草はどう？,how
そのことをどうやって聞いたの？,how
どうしてこうなったんだろう？,how
